each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0(0.5):B220,000.00,[100.00,160.00,100.00]	5(0.5):A100,000.00,[100.00,100.00,100.00]	10(0.5):C180,000.00,[100.00,100.00,140.00]	15(0.5):B000,000.00,[100.00,050.00,100.00]	20(0.5):C000,000.00,[100.00,100.00,050.00]	25(0.5):B000,000.00,[100.00,050.00,100.00]	30(0.5):A100,000.00,[100.00,100.00,100.00]	35(0.5):B220,000.00,[100.00,160.00,100.00]	40(0.5):B000,000.00,[100.00,050.00,100.00]	45(0.5):B220,000.00,[100.00,160.00,100.00]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,038.43,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):B000,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,064.20]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):C000,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,026.18,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B000,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,019.16]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,013.09,046.56]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):C180,000.00,[100.00,003.13,099.58]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B220,000.00,[100.00,116.54,046.56]	5(0.5):B000,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):C000,000.00,[100.00,003.13,049.79]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,116.54,046.56]	5(0.5):A100,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,049.79]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,116.54,046.56]	5(0.5):A100,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,049.79]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B000,000.00,[100.00,058.27,046.56]	5(0.5):A100,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,049.79]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,058.27,046.56]	5(0.5):A100,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,049.79]	20(0.5):B000,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,058.27,046.56]	5(0.5):A100,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,058.27,046.56]	5(0.5):A100,000.00,[100.00,016.88,020.94]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,003.13,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B220,000.00,[100.00,139.14,046.56]	5(0.5):C180,000.00,[100.00,016.88,100.47]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):B000,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,013.50,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B000,000.00,[100.00,069.57,046.56]	5(0.5):C180,000.00,[100.00,016.88,140.23]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,116.75,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):A100,000.00,[100.00,069.57,046.56]	5(0.5):C000,000.00,[100.00,016.88,070.12]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,116.75,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B220,000.00,[100.00,144.78,046.56]	5(0.5):A100,000.00,[100.00,016.88,070.12]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,116.75,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B220,000.00,[100.00,182.39,046.56]	5(0.5):C000,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,168.37,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,006.20,004.10]	
0(0.5):B220,000.00,[100.00,201.20,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,194.19,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):B000,000.00,[100.00,003.10,004.10]	
0(0.5):B220,000.00,[100.00,210.60,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B000,000.00,[100.00,097.09,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):B000,000.00,[100.00,105.30,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B000,000.00,[100.00,048.55,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,105.30,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,048.55,021.97]	40(0.5):A100,000.00,[100.00,019.21,012.50]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):B000,000.00,[100.00,052.65,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,049.79]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,048.55,021.97]	40(0.5):C180,000.00,[100.00,019.21,096.25]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):B000,000.00,[100.00,026.32,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):C000,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,048.55,021.97]	40(0.5):C000,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,026.32,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,018.44]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B000,000.00,[100.00,024.27,021.97]	40(0.5):A100,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,026.32,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):C000,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,024.27,021.97]	40(0.5):A100,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,026.32,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,024.27,021.97]	40(0.5):A100,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,026.32,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,024.27,021.97]	40(0.5):A100,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,026.32,046.56]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,024.27,021.97]	40(0.5):A100,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):C180,000.00,[100.00,026.32,113.28]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,024.27,021.97]	40(0.5):A100,000.00,[100.00,019.21,048.13]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):C000,000.00,[100.00,026.32,056.64]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,122.14,021.97]	40(0.5):C000,000.00,[100.00,019.21,024.06]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,026.32,056.64]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):A100,000.00,[100.00,122.14,021.97]	40(0.5):B000,000.00,[100.00,009.61,024.06]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):B220,000.00,[100.00,123.16,056.64]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,171.07,021.97]	40(0.5):A100,000.00,[100.00,009.61,024.06]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):B220,000.00,[100.00,171.58,056.64]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):A100,000.00,[100.00,029.06,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,195.53,021.97]	40(0.5):A100,000.00,[100.00,009.61,024.06]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):B000,000.00,[100.00,085.79,056.64]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):B220,000.00,[100.00,124.53,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B000,000.00,[100.00,097.77,021.97]	40(0.5):A100,000.00,[100.00,009.61,024.06]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
0(0.5):A100,000.00,[100.00,085.79,056.64]	5(0.5):A100,000.00,[100.00,016.88,035.06]	10(0.5):A100,000.00,[100.00,025.00,024.69]	15(0.5):A100,000.00,[100.00,001.56,024.89]	20(0.5):A100,000.00,[100.00,006.25,009.22]	25(0.5):B220,000.00,[100.00,172.27,012.50]	30(0.5):A100,000.00,[100.00,018.81,032.10]	35(0.5):B220,000.00,[100.00,158.88,021.97]	40(0.5):A100,000.00,[100.00,009.61,024.06]	45(0.5):A100,000.00,[100.00,003.10,004.10]	
